date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:39:51	76/76	---MCZ	200	added ('OK')	text/plain	date:Wed,%2023%20Nov%202016%2005:39:50%20GMT	http://zaman-it.com/robots.txt		(from )
11:39:53	127028/127028	---M-Z	200	added ('OK')	text/html	date:Wed,%2023%20Nov%202016%2005:39:51%20GMT	http://zaman-it.com/	E:/copy%20web%20template%20for%20misoftbd/misoftbd/zaman-it.com/index.html	(from )
11:39:54	3486/3486	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20Oct%202016%2009:04:40%20GMT	http://zaman-it.com/wp-content/uploads/2015/07/scripts-logo1.jpg	E:/copy%20web%20template%20for%20misoftbd/misoftbd/zaman-it.com/wp-content/uploads/2015/07/scripts-logo1.jpg	(from http://zaman-it.com/)
11:39:55	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2023%20Nov%202016%2005:39:54%20GMT	http://zaman-it.com/xmlrpc.php	E:/copy%20web%20template%20for%20misoftbd/misoftbd/zaman-it.com/xmlrpc.php	(from http://zaman-it.com/)
11:39:56	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	date:Wed,%2026%20Oct%202016%2012:28:37%20GMT	http://zaman-it.com/wp-content/uploads/2016/10/favicon-1.ico	E:/copy%20web%20template%20for%20misoftbd/misoftbd/zaman-it.com/wp-content/uploads/2016/10/favicon-1.ico	(from http://zaman-it.com/)
11:39:57	2820/2820	---MCZ	200	added ('OK')	text/css	date:Tue,%2018%20Oct%202016%2009:03:05%20GMT	http://zaman-it.com/wp-content/themes/arkahost/assets/css/king-hosting.css?ver=5.1.1	E:/copy%20web%20template%20for%20misoftbd/misoftbd/zaman-it.com/wp-content/themes/arkahost/assets/css/king-hosting3c21.css	(from http://zaman-it.com/)
11:39:57	6660/6660	---MCZ	200	added ('OK')	text/css	date:Tue,%2018%20Oct%202016%2009:03:05%20GMT	http://zaman-it.com/wp-content/themes/arkahost/assets/css/reset.css?ver=5.1.1	E:/copy%20web%20template%20for%20misoftbd/misoftbd/zaman-it.com/wp-content/themes/arkahost/assets/css/reset3c21.css	(from http://zaman-it.com/)
11:39:59	65074/65074	---MCZ	200	added ('OK')	text/css	date:Tue,%2018%20Oct%202016%2009:03:05%20GMT	http://zaman-it.com/wp-content/themes/arkahost/assets/css/main_menu/bootstrap.min.css?ver=5.1.1	E:/copy%20web%20template%20for%20misoftbd/misoftbd/zaman-it.com/wp-content/themes/arkahost/assets/css/main_menu/bootstrap.min3c21.css	(from http://zaman-it.com/)
11:39:59	3871/3871	---MC-	200	added ('OK')	application/rss+xml	etag:%222169f762718637afefc209042ee0f3dc%22	http://zaman-it.com/comments/feed/	E:/copy%20web%20template%20for%20misoftbd/misoftbd/zaman-it.com/comments/feed/index.html	(from http://zaman-it.com/)
11:39:59	704/704	---MC-	200	added ('OK')	application/rss+xml	etag:%222169f762718637afefc209042ee0f3dc%22	http://zaman-it.com/home-version-1/feed/	E:/copy%20web%20template%20for%20misoftbd/misoftbd/zaman-it.com/home-version-1/feed/index.html	(from http://zaman-it.com/)
11:40:00	27201/27201	---MC-	200	added ('OK')	application/rss+xml	etag:%224f07d6d5ab1d29d4b87037a2109b38b0%22	http://zaman-it.com/feed/	E:/copy%20web%20template%20for%20misoftbd/misoftbd/zaman-it.com/feed/index.html	(from http://zaman-it.com/)
11:40:00	28092/28092	---MCZ	200	added ('OK')	text/css	date:Tue,%2025%20Oct%202016%2012:10:34%20GMT	http://zaman-it.com/wp-content/themes/arkahost/style.css?ver=5.1.1	E:/copy%20web%20template%20for%20misoftbd/misoftbd/zaman-it.com/wp-content/themes/arkahost/style3c21.css	(from http://zaman-it.com/)
